,내용,별점,재구매,한달사용기,종류,년,월,일
3537,"치과에서 미세모를 절대 쓰지 말라면서 샘플로 하나 주셔서 사용해봤는데 정말 잘 닦이더라구요. 남편, 6살, 3살 아이들 것까지 이번 기회에 몽땅 바꾸었네요.",5,0,0,2,2020,5,6
3538,항상 쓰던거... 좋아요,5,0,0,2,2020,5,6
3539,배송 빠르고 만족합니다.,5,0,0,2,2020,5,6
3540,처음샀어요. 기존 칫솔보다 살짝 작습니다. 원래 치과용은 그런가요?,3,0,0,2,2020,5,6
3541,고급은 처음 써보는데 좋으면 계속 쓰려구요,4,1,0,1,2020,5,6
3542,배송빠르고 만족해요,5,0,0,2,2020,5,6
3543,칫솔모가 좀 빠져요 ... 교정기 사이로 가끔끼어서 빼기 무서워요 그래도 잘 닦이는거같아요,5,0,0,6,2020,5,6
3544,고급은 처음써바요 한달후기 또 남길게요,4,1,0,2,2020,5,6
3545,벌써 3번째 구매...! 인생 칫솔입니다!,5,1,0,2,2020,5,6
3546,배송빠르고 물건좋네요,5,0,0,7,2020,5,6
3547,두번째 구입입니다. 아이들과 같이 사용하는데 저렴해서 자주 교체하기도 부담 없고 나름 가격대비 품질도 좋은거 같네요~,5,1,0,2,2020,5,6
3548,정말 좋아요 또 구매할겁니다 다른 미세모구매했다 못쓰겠더라구요,5,0,0,2,2020,5,7
3549,질 사용중이에요. 어른 아이꺼 이렇게 구매해 가족모두 사용하고 있지요. 모가 부드러워 맘에 들어요.,4,0,0,1,2020,5,7
3550,잘 닦여요 조아요~~^^,5,0,0,3,2020,5,7
3551, 상품이에요 막쓰고 버리기좋아요.  uav살균기도 쓰지만 오래안쓰고 새것 쓰고 좋은듯,4,0,0,1,2020,5,7
3552,원래 다니던 치과에서 산 칫솔보다 더 좋아요ㅎㅎ적당히 힘이 있어서 더 잘 닦이는 기분입니다,5,0,0,2,2020,5,7
3553,늘 쓰던거라~~ 저는 교정해서 부드러운게 더 좋네요~~,5,0,0,1,2020,5,7
3554,동생이 한개줘서 써봤는데..부드러우면서 힘도있어 사이사이 잘 닦이고 괜찮은거같아  바로 주문했어요~가격도 싸고..품질도 좋은거 같아요^^,5,0,0,2,2020,5,7
3555,배송 빠르고 좋은 칫솔 받아서 더 좋네요,5,0,0,1,2020,5,7
3556,배송도 빠르고 저렴하게 잘샀어요,5,0,0,4,2020,5,7
3557,시원한 느낌이 나고  일반 칫솔이랑은 다른거 같아요,5,0,0,2,2020,5,7
3558,만족하고 잘쓰고 있어요,5,1,0,1,2020,5,7
3559,교정하고 있어서1년째 사용중. 부드러워좋아요,4,1,0,1,2020,5,7
3560,아이들 어린이집 다니던 때부터 지금까지 아이들것은 늘 S&G칫솔만 썼는데 저렴하게 구매한것 같아요.  늘 박스로 구매해서 챙겨두는 편인데 어떻게 이번에 깜빡하고 있다가 늦게 주문해서...  연휴 껴있었는데 배송이 예상보다 빨리 왔네요.  감사합니다.,5,0,0,1,2020,5,7
3561,칫솔모가 작아요~ 몇번 사용 안해봤는데 괜찮은것 같아요~어린이용 칫솔에 머리카락 이물질? 검은게.. 들어가 있었는데 찝찝했는데ㅠ.. 포장 하면서 그럴수도 있지 생각 할렵니다. 담엔 검수 잘 해주세요~,4,0,0,0,2020,5,7
3562,항상 잘 쓰고있음요,5,1,0,2,2020,5,7
3563, 4번째에유!!,5,0,0,7,2020,5,7
3564,배송도 빠르고 치아도 잘 닦여요,4,0,0,3,2020,5,7
3565,빠른배송 깔끔한 포장 감사합니다,5,0,0,1,2020,5,7
3566,배송도 빠르고 저렴하게 잘샀어요,5,0,0,7,2020,5,7
3567,늘 쓰던거라 만족해요~~~^,5,0,1,2,2020,5,7
3568,잘쓸께요 감사합니다,5,0,0,3,2020,5,7
3569,배송빠르고 꼼콤포장도 굿~ 사은품도 잘쓸게요~,5,0,0,1,2020,5,7
3570,여지껏 인터넷쇼핑 하면서 이런곳은 없다고봅니다. 얼마전 교정용 칫솔구매 사용시 불만이 좀 생겼으나 금액도 얼마안되고 그냥 쓰고 버리고 다음엔 이곳에서 구매안한다는 마음으로 반품신청도 따로하지않고 상품후기만 남겼는데 판매자님이 개별적으로 연락와서 제조일자가 다른 제품으로 교환처리해주신다는데 제조일이 다르다해서 뭐가 다르겠나 싶기도하고 제조일이 어디적혀있는지도 모르겠고해서 반신반의하며 슬림모 교정칫솔이라도 상관없으니 구매한제품과 다른것으로 요청드렸어요. 그러니 일반모와 슬림모 반반 믹스해서 보내주시고 서비스로 구강거울까지 챙겨보내주셨네요. 또 처음 구매한 칫솔캡이 집에있어 비교하니 캡자체도 달랐고 제조일이 다른걸 보내주신것같고 좀 신경써서 보내주신게 느껴졌습니다. 캡뚜껑사진 첨부하고 교환받은 칫솔캡 모양은 좌측입니다. 솔직히 돈버렸다 생각한 상품이었는데 생각지도않게 판매자님의 사후처리가 감동입니다. 정말 교환이나 반품 요청한게 아닌데도 정말 감사하네요. 제조사측에 요청하여 제품상태를 검토요청하신다하니 칫솔모빠짐은 개선이 될것같고 판매자님 응대면에서 정말 별점 오억만개드리고싶네요. 교환온 칫솔은 아직 사용전인데 이전칫솔처럼  손으로 했을때 모빠짐은없어요. 괜찮은것같고 정말 잘쓰겠습니다. 교정이 끝날때까지 그리고 교정이끝난 후에도  판매자님 믿고 이곳에서 칫솔구매하렵니다. 주변지인들에게도 적극추천하겠습니다. 구매자를 위한 배려 너무 감사하고 또 감사합니다.수고하세요!!,5,0,0,3,2020,5,7
3571,교정 기간동안 쭉 사용예정이예요.,5,0,1,1,2020,5,7
3572,계속  쓰던  칫솔이라서  말이  필요 없네요  좋아요,5,1,0,1,2020,5,7
3573,이랗게 싸고 튼튼한 칫솔 처음입니다 너무 좋아요  꼭사세요!,5,0,1,1,2020,5,7
3574,사용해보지는않았지만좋을것같아요,4,0,0,2,2020,5,7
3575,평소 꾸준히 잘 사용하고 저렴해서 부담없이 자주 바꿔줍니다.,4,0,0,2,2020,5,7
3576,부드럽고 좋습니다 싸게 잘샀네요,5,0,0,2,2020,5,7
3577,잘받았어요~후기믿고 구입합니다~,3,0,0,1,2020,5,7
3578,항상사용하는제품입니다,5,0,0,3,2020,5,7
3579,전에 샀던거 재주문한건데 제품이 완전다르네요. 부드럽지  않아요.,1,0,0,2,2020,5,7
3580,양치질이 깨끗하게 잘됩니다.,5,1,0,1,2020,5,7
3581,저렴하게 참 잘산거같아요 다쓰면 또살거에요,5,0,1,2,2020,5,7
3582,평이 좋아 구매했어요 쓰기편하고 느낌도 좋아요,5,0,0,2,2020,5,7
3583,좋아요 전에쓰던 칫솔이랑 차원이 달라요 양치질 하면 치아가 시원한 느낌이 나네요,5,0,0,2,2020,5,7
3584,초등생 칫솔 주변에서 추천받아서 주문했어요..아이가 쓰고 사용감 좋다고 하네요..,5,0,0,7,2020,5,7
3585,초등학교 4학년아이에게 아주 적당하네요.. 저도 같이 쓰고 있어요...,5,0,0,2,2020,5,7
3586,교정때문에매번주문하는곳인데ㅡ가성비짱이예요~~^^,5,0,0,1,2020,5,7
3587,"사용해보니 좋아서, 재구매 했습니다.",5,0,0,6,2020,5,7
3588,매번 쓰는 칫솔이예요 너무좋아요,5,1,0,1,2020,5,7
3589,슬림모랑 일반모 둘다샀어요. 일반모가 확실히 단단해 보이네요. 써보고 한달후기 올릴게요~,5,0,0,3,2020,5,7
3590,~ ^ ^ ~ ~ ~,4,0,0,2,2020,5,8
3591,입니다.  한달에 두개씩 (집/회사)쓰는데 너무 좋아요  교정끝날때까지 구매할 예정입니다,5,0,0,1,2020,5,8
3592,슬림형은 부드러워서 좋은데 금방 닳을것같아요 일반모는 아직 사용 못해봤는데 타사제품보다 좀 좋아보여서 맘에들어요,3,0,0,6,2020,5,8
3593,너무잘닦이고 좋아요,5,0,0,1,2020,5,8
3594,"어금니칫솔은 예전부터 사용중인터라 믿고 구매합니다. 슬림모라 부드럽고, 잘 닦이네요.",5,0,0,1,2020,5,8
3595,잘 받았습니다. 많이 파세요.,4,0,0,7,2020,5,8
3596,항상 잘쓰고있어요  다쓰면 또 살께요,4,1,0,2,2020,5,8
3597,교정하고 나서 칫솔이 자주 칫솔모가 뻗어 나간다고?? 해야하나요...!!   칫솔모가 교정 브라켓에 걸리고 막 하다가 보니깐ㅠㅠㅠ 자주 칫솔을 교체 해요..ㅠㅠ   이렇게 대용량으로 구입을 하니 엄청 맘 편하게 이 닦아요.😱😱  교정 안한 저희 언뉘두ㅋㅋㅋ 이 칫솔 엄청 맘에 들어해요.   그리고 처음 교정하면 치과에서 주는 칫솔이랑 차이가 있다면 더 부들부들하고 엄청 맘에 들어요.  정기적으로 한달마다 치과가서 칫솔 구입하기도 번거럽기도 하잖아요ㅠㅠ,5,0,0,6,2020,5,8
3598,한달을 썼다는건 30일을 사용했다는 것입니다. 양치를 펀하게 하고 나니 입안이 쿨합니다.,5,0,1,2,2020,5,8
3599,사용해본 칫솔중 제일이예요. 늘 딸이 사줬는데 이젠 코코에서 구매해야겠어요~,5,0,0,2,2020,5,8
3600,3주정도 사용했는데요 살짝 칫솔이 작은거 같은 느낌이 들지만 그래서 더 꼼꼼히 잘 닦는거 같아요 솔도 튼튼해서 좋네요,4,0,0,3,2020,5,8
3601,배송도 빠르고 품질도 최고입니다 다른 제품 시키다 이제 여기만 시켜요 좋아요 강추 합니다 정말 짱이에요 감사합니다,5,1,0,1,2020,5,8
3602,아직써보기전인데 좋았으면 좋겠어요,5,0,0,2,2020,5,8
3603,잘 받았어요 치과용 칫솔이라니 믿고 사용해볼게요,5,0,0,2,2020,5,8
3604,7일 2시좀 넘어서 주문했는데 와 배송 진짜 빨라욬ㅋㅋ8일 3시반에 받았어요 치과칫솔 저렴하게 구입할수 있어서 좋아요,5,0,0,2,2020,5,8
3605,아이 칫솔이 떨어져 구매했어요 치과용 칫솔이라 믿고 써 볼게요,5,0,0,2,2020,5,8
3606,계속 구매해서 사용중입니다 감사합니다,5,0,0,2,2020,5,8
3607,좋아요  교정중인딸이늘쓰던제춤이예여 병원보다저렴해서더좋아요,5,0,0,3,2020,5,8
3608,7일에 주문해서 8일에 받고 배송 진짜 굳굳 아이 어린이집 칫솔로 너무 좋아요 진작 알았다면 비바텍이나 조르단 안썼을텐데 위에 언급한것들은 아이가 씹으면 모가 그대로 빠져서 칫솔 2주도 채못간적이 많았는데 이건 모가 잘빠지지않고 솔도 부드러운편이어서 잇몸 다치는것없이 닦일수 있어요 무엇보다 이름쓰는 칸이 있어서 어린이집 준비물로 딱이에요^^,5,0,0,2,2020,5,8
3609,빠르게 잘받았어요 잘쓸께요,5,0,0,7,2020,5,8
3610,배송 빠르고 사용하기 너무 좋습니다.,5,0,0,7,2020,5,8
3611,부모님 칫솔 없다고 해서 샀는데 ^^ 배송 오니깐 집에 있다네요 ㅠㅠ 그냥 쓸랍니다~ 잘 쓰고 있어요,4,1,0,1,2020,5,8
3612,믿고쓰는 제품이랍니다,5,1,0,1,2020,5,8
3613,매번 잘쓰고 있습니다.,4,1,0,2,2020,5,8
3614,사용하기좋아요~애들같이 사용하고있어요,4,0,0,2,2020,5,8
3615,계속사용예정임 좋아요,4,1,1,2,2020,5,8
3616,늘 믿고 쓰는 물건이예요,5,1,0,2,2020,5,8
3617,빠른 배송 감사합니다,5,1,0,1,2020,5,8
3618,항상 잘 사용 하고 있습니다,5,0,0,1,2020,5,8
3619,부드럽고 좋아요 계속사용해야겠어요,5,0,0,2,2020,5,8
3620,배송 빠르고 좋아요,5,0,0,2,2020,5,8
3621,배송 빠르고 좋아요,4,0,0,7,2020,5,8
3622,빠른배송감사합니다~~,4,0,0,2,2020,5,8
3623,아주조아여 아주조아여 아주조아여 아주조아여 아주조아여 아주조아여,4,0,0,7,2020,5,8
3624,배송도 빠르고 가격도 저렴하네요,5,0,0,1,2020,5,8
3625,교정중인딸이 있어 구매했구요 금방 마모된다고는 하는데 치과에서 별도 구매 하는 것 보다는 저렴해요,3,0,0,1,2020,5,9
3626,배송빠르고 좋습니다,5,1,0,2,2020,5,9
3627,전에도 쓰던 칫솔이에요,4,0,0,2,2020,5,9
3628,매번 주문합니다 배송 빠르고 품질도 좋아요오,4,1,0,7,2020,5,9
3629,빠른 배송 감사합니다.^^,4,0,0,2,2020,5,9
3630,칫솔모가 부드럽고 아주 잘닦이는 기분이 들어요,5,0,0,7,2020,5,9
3631,친구집에서 써보고 좋아서 구매했어요~,5,0,0,2,2020,5,9
3632,교정중에 사용하기 좋아서 재구매 20개,5,1,0,1,2020,5,9
3633,두 번째 구매인데 정말 가성비 좋아요!,5,0,0,1,2020,5,9
3634,부드럽고 칫솔질도 잘되고 좋습니다,5,0,0,7,2020,5,9
3635,저도 마음에 들고 아이는 이가 작아서 어린아이용을 쓰는데도 마음에 든대요 가격도 저렴하고 품질도 좋아요 계속 쭉 쓰고 싶어요,5,0,0,1,2020,5,9
3636,입니다~ 배송 빠르고 가격대비 만족해요^^,4,0,0,1,2020,5,9
3637,깨끗하고 아프지 않게 잘 닦여요,5,0,0,2,2020,5,9
3638,저렴하게 구매했습니다 양치질이 잘됩니다,5,0,1,2,2020,5,9
3639,항상 쓰던 제품입니다 재구매 의사있어요,4,1,1,2,2020,5,9
3640,가격착하고 뭔가 깔끔하게 잘닦임,5,0,1,2,2020,5,9
3641,아직 사용전인데 좋았으면....,4,0,0,1,2020,5,9
3642,잘닦이는거 같아요!,5,0,0,2,2020,5,9
3643,아직사용전인데 만족하며ㅠ쓰고있어요,5,0,0,7,2020,5,9
3644,빠른 배송 감사합니다 늘 쓰던 제품,5,0,0,3,2020,5,9
3645,빠른 배송 감사합니다,5,0,0,2,2020,5,9
3646,잘 닦이고 부드러워요 정말 좋아요  사이즈도 작아서 어금니까지 잘 닦여요,5,0,0,2,2020,5,9
3647,여기 칫솔만 어머니랑 열개씩 사서 나눠써요 크기도 솔도 딱 좋아서요,5,0,1,2,2020,5,9
3648,치과 치솔이 비싸서 알아보다 구입하게 됐는데 가격도 품질도 맘에 듭니다,5,0,0,1,2020,5,9
3649,근데 다좋은데 저한테 칫솔머리가 좀크네요 점더 작게만들어주세요,4,0,0,2,2020,5,9
3650,배송도 이정도면 빠르고 아이들이 사용하기 좋다고 합니다,5,0,0,2,2020,5,9
3651,3번째인가4번째구매입니다 6개월정도분량이고 한달에2개씩소모하는것같아요 교정끝날 날이얼마안남았는데 모든교정인들 화이팅하세요!,5,0,0,6,2020,5,9
3652,시중에서 파는 일반적인 칫솔보다는 사용하기 좋은듯해요 잇몸이 약하신 분에겐 약간 하드하실수도 있을실듯해요,3,0,0,2,2020,5,9
3653,잇몸에 부담이 안가서 좋습니다.,5,0,0,2,2020,5,10
3654,저렴하게 잘 샀습니다. 개운하게 잘 닦여요~!!,5,0,0,3,2020,5,10
3655,계속사용하고는 있는제품입니다,3,1,0,7,2020,5,10
3656,만족합니다 추천합니다,5,1,0,2,2020,5,10
3657,솔이 튼튼해요 잘 쓰고 있습니다,5,0,1,3,2020,5,10
3658,만족하고있는 제품이라 늘 쓰고있어요 칫솔부분이 너무크지않아서 좋아요,4,1,0,1,2020,5,10
3659,언제나 만족하며 씁니다 기능에 충실한 칫솔. 치키치카,5,0,0,2,2020,5,10
3660,칫솔유목민은 이제 여기 눕습니다,5,0,0,3,2020,5,10
3661,이중슬림모 구매해서 쓰다가 신랑이 좀 쎈것같다해서 슬림모로 구매했습니다~부드럽고 좋다하네요~,5,1,0,1,2020,5,10
3662,매번 쓰던거라  재구매합니다!!,5,0,0,1,2020,5,10
3663,애용하고 있는 칫솔입니다 틈새틈새마다 시원하게 씻겨지는 기분 짱입니다,5,0,0,3,2020,5,10
3664,써 본 칫솔 중에 가격대비 만족도 최고입니다. 머리가 크지 않아 구석구석 끝까지 닦아주고 미세모도 촘촘한게 닦고 나서 상쾌한 기분을 줍니다.,5,0,1,7,2020,5,10
3665,"괜찮네요, 잘쓰겠습니다.",5,0,0,1,2020,5,10
3666,아이 교정해서 구매했어요 좋네여,5,0,0,1,2020,5,10
3667,좋아요 칫솔모가 일단 엄청 부드러워서 잇몸에 좋을거같아요,5,0,0,1,2020,5,10
3668,매번쓰는 칫솔입니다 좋아요,5,0,0,7,2020,5,10
3669,아주좋네요잘쓰겠습니다,3,0,0,7,2020,5,10
3670,애용하고 있는 칫솔입니다 틈새틈새마다 시원하게 씻겨지는 기분 짱입니다,5,0,0,3,2020,5,10
3671,죠아용~~깨끗하게닦이는거같아용,5,0,0,6,2020,5,10
3672,잘사용하고있습니다. 또구매할게요,5,0,1,2,2020,5,10
3673,부드럽고 좋아요 감사합니다,5,0,0,6,2020,5,10
3674,항상 사용하던 제품이예요 온긴족이 이 칫솔만 사용합니다,5,1,0,2,2020,5,10
3675,시키던거 재구매해요,5,0,0,7,2020,5,10
3676,좋은거 같아여 잘 써보께여,4,0,0,2,2020,5,10
3677,항상쓰는제품이예요. 모도 적당히 힘있고 이도 잘 닦겨요.저렴하고 좋아요.,5,0,0,2,2020,5,10
3678,잘쓰고 있어요 나중에 재구매할게요,5,0,1,6,2020,5,10
3679,잘 닦이고 부담없어 좋아요,5,0,0,2,2020,5,10
3680,빠른배송감사합니다~,5,0,0,1,2020,5,10
3681,치아도 잘 닦이고 저렴하니 좋아요,5,0,1,2,2020,5,10
3682,잘 받았습니다  배송이 빠릅니다,5,0,0,7,2020,5,11
3683,칫솔모가 교정기에 끼고 자꾸 빠지네요,1,0,0,0,2020,5,11
3684,좋아요 마이파세요^^~~,5,0,1,6,2020,5,11
3685,저희집엔 이 제품이 젤 잘 맞는 것같아요. 임플란트한 게 있어서 신경쓰이는데 구석구석 잘 닦이고 솔부분이 너무 큰건 안쪽이 잘 안 닦이는데 요 치솔은 야무지게 잘 되요 두통씩 쟁여두고 씁니다,5,0,1,1,2020,5,11
3686,좀 더 사용해봐야 알겠지만  헤드가 작아서  입안을  구석구석 칫솔질하기 좋아요,4,0,0,2,2020,5,11
3687,역시 잘닦여요 ㅋㅋㅋ사길 잘했어요,5,0,0,2,2020,5,11
3688,교정칫솔 이만한게 없죠 ㅎ,4,0,0,1,2020,5,11
3689,사용하기 좋습니다 자주 쓰던제품이에요,4,0,1,2,2020,5,11
3690,일반으로 쓰다가 이번엔 고급으로 구매해봤어요~  패키지도 심플하고 깔끔해서 좋고 박스채 보관이 용이하네요 :)  칫솔마다 보호캡도 있어서 더 좋아요. 칫솔이 작다고 생각될 수 있는데 전 오히려 큰거보다 작은게 꼼꼼하게 사이사이 닦이는거같아 좋더라구요. 억세지도 그렇다고 너무 부드럽지도 않아 딱 좋습니다 :)  재구매는 다 이유가 있어요 !,5,1,0,2,2020,5,11
3691,배송도빠르고 상품이 좋네요,5,0,0,7,2020,5,11
3692,칫솔모가 잘 벌어지지만  이 만한 칫솔 없다는~~,5,1,1,2,2020,5,11
3693,직접 써보니까 부드럽고 좋습니다,5,0,0,6,2020,5,11
3694,잘 닦입니다. 좋아요,4,0,0,2,2020,5,11
3695,좋아요! 늘 쓰고 있어요!,5,0,0,2,2020,5,11
3696,한달간 사용해 봤는데 칫솔모가 너무 하드한것 같아서 잇몸에 안좋은거 같아요 ㅡㅡ 다른분들은 더 부드러운걸로 고르세요,3,0,1,2,2020,5,11
3697,아이들이사용하기좋은사이즈,5,0,0,7,2020,5,11
3698,어금니칫솔 찾다가 구매했는데 완전 만족합니다,5,0,0,7,2020,5,11
3699,잘 닦이는거 같아요. 좋아요.,5,0,0,2,2020,5,11
3700,자주 주문합니다~ 치과칫솔 좋아요,4,0,0,7,2020,5,11
3701,"두번째 시켜요, 참 좋아요",5,1,0,1,2020,5,11
3702,싸서 좋네요.가성비좋아요,4,0,0,2,2020,5,11
3703,아이가 교정해서 사는데요 칫솔모가 부드럽지않아서 잘 닦여요 저도 한번 써봤는데 칫솔모가 힘이 있어서 좋아합니다.,5,0,0,1,2020,5,11
3704,부드럽고 좋아요 재구매의사있어요,5,0,0,1,2020,5,11
3705,배송이 생각보다 빠릅니다.,4,0,0,7,2020,5,11
3706,치과에서 추천하는 칫솔,5,0,1,1,2020,5,11
3707,부드럽고 촘촘해서 잘닦여요  추천합니다,5,0,1,2,2020,5,11
3708,칫솔모도얇고튼튼해요,5,1,1,2,2020,5,11
3709,고양이 칫솔로 쓰고 있어요 ㅋㅋ,5,0,0,4,2020,5,11
3710,칫솔은 이게 짱~~~,5,1,1,2,2020,5,11
3711,사용해보니 좋아요. 안아프구 잘 닦이는거 같아요,5,0,0,4,2020,5,11
3712,칫솔 좋아요 한번썻더니 계속쓰게되네요,5,0,0,2,2020,5,11
3713,항상 쓰는 제품 입니다 많이 파세요,5,0,0,2,2020,5,12
3714,칫솔좋아요 딱히 안 좋은 점 못찯겠어요 ㅎㅎ,5,1,1,1,2020,5,12
3715,성인용 써보고 좋아서 아이것도 주문해요,5,0,0,7,2020,5,12
3716,한통 다쓰고 재구매 입니다^^,5,0,0,1,2020,5,12
3717,교정중인데 다 써서 재구매했습니다.좋아용,5,1,0,1,2020,5,12
3718,부드럽고 좋네요ㅗ 좋아요,5,0,0,2,2020,5,12
3719,제품 좋아요. 잘쓰고 있어요,5,0,0,1,2020,5,12
3720,아직 써보진 안았지만 보기에는 좋아보이네요.,4,0,0,7,2020,5,12
3721,늘쓰던 제품입니다~교정중에는 필수템 입니다~,4,1,0,4,2020,5,12
3722,배송도 빠르고 정말 좋아요.,5,0,0,4,2020,5,12
3723,배송도 빠르고 사이즈도 적당하고 각각 캡도 씌여 있어서 사용하기 편해요,5,0,0,1,2020,5,12
3724,계속해서 잘 사용하고 있습니다 ~~,4,0,1,2,2020,5,12
3725,교정중인데 재구매햇습니다  좋아용,5,1,0,1,2020,5,12
3726,"적당히 단단하고, 칫솔 헤드부분이 작아서 맘에 들어요. 다쓰면 재구매할게요^^",5,0,0,2,2020,5,12
3727,아직 교정칫솔이 남아있어서 개봉은하지않았지만 포장도 깔끔하고 배송도 빠르게 왔습니다! 써보고 한달구매평 쓸게요~,5,0,0,1,2020,5,12
3728,6세아이용으로 샀어요 어릴때부터 이것만 쓰고 있어서 재구매했습니다,5,0,0,1,2020,5,12
3729,첨엔 부드러운모가 더좋았는데 금방벌어지고 교정기에 익숙해지고나면 일반모도 사용하기 좋았습니다,5,0,1,6,2020,5,12
3730,아직 사용해보진못했지만 좋을거같네용~~^^,4,0,0,2,2020,5,12
3731,무척 저렴한거는 좋아요! 한달에 한번씩 바꿔 쓸려구요~ 그런데 칫솔모가 저는 좀 투박한거 같아요ㅠㅠ,4,0,1,1,2020,5,12
3732,칫솔 이부드럽고질도조아요,5,0,0,1,2020,5,12
3733,칫솔이 작긴한데 모는 부드럽고 조아요,5,0,1,7,2020,5,12
3734,생각보다... 칫솔모의 길이가 짧습니다,3,0,0,1,2020,5,13
3735,치과치약 믿고 쓰네요~~,5,0,0,2,2020,5,13
3736,좋아요. 다음에 다시 구매할께요. 정말 좋아요,5,0,0,3,2020,5,13
3737,좋다는 얘기를 들어서 다양하게 구매해봤습니다. 남편이 써봤는데 부드럽고 좋다네요. 잘 사용하겠습니다!,4,0,0,7,2020,5,13
3738,이 칫솔로 이를 닦으면 뽀득뽀득 잘 닦이는 느낌이 바로바로  들더라고요~ 만좁합니다.,5,0,1,2,2020,5,13
3739,배송도 빠르고 포장상태도 좋아요 늘 쓰던거라 믿고 사용합니다 칫솔모가 부드럽고 좋아요,5,0,0,7,2020,5,13
3740,저렴하게 교정용 칫솔 구매했습니다,5,0,0,3,2020,5,13
3741,사용해보니 좋네요 가격대비 굿ㅎㅎ,5,0,0,2,2020,5,13
3742,미세모에 모가 짱짱해서 스케일링 한 느낌입니다. 재구매 의사 있습니다~,5,0,1,0,2020,5,13
3743,빠르고 꼼꼼하게 포장되어 배송해주셔서 감사합니다   어금니 칫솔은 개당 따로 케이스가 있어서 좋네요 ~,5,0,0,4,2020,5,13
3744,잇몸이 약한 사람한테 쓰기 좋아요!!,5,0,0,7,2020,5,13
3745,어린이 기린 미세모 쓰다가~ 좋아서 이번엔 어린이고급 슬립모 구매했어요~  가격대비 강추입니다~,5,0,0,1,2020,5,13
3746,받았어요 늘쓰던거예요,5,1,0,7,2020,5,13
3747,빠르고 꼼꼼하게 포장되어 배송해주셔서 감사합니다   어금니 칫솔은 개당 따로 케이스가 있어서 좋네요 ~,5,0,0,7,2020,5,13
3748,늘 사용하던 제품이에요 대만족입니다,5,0,0,2,2020,5,13
3749,칫솔이 부드럽고 잘 닦여져서 좋아요~,5,0,0,1,2020,5,13
3750,평소 잇몸이 약한편이라 모가 부드러운걸 선호하는데 잘 쓰고있어요!,5,0,1,1,2020,5,13
3751,좋아요 항상 잘쓰고있어요,5,0,1,2,2020,5,13
3752,이것만 써요 딴거는 못 쓰겠어용,5,0,0,7,2020,5,13
3753,3번째 구매입니다^^,5,1,0,7,2020,5,13
3754,배송도 빠르고 이전에 썼던 칫솔보다 훨씬 사용감이 좋습니다.,4,0,0,7,2020,5,13
3755,배송이 빨라서 좋아요.,5,0,0,7,2020,5,13
3756,반신반의로 구매해봤는데 너무 좋네요!  단단하면서 미세모는 되게 부드럽고 딱 좋아요 계속 쓰게될거 같습니다,5,0,0,2,2020,5,13
3757,너무 잘 사용하고 있어요~~,5,0,1,2,2020,5,13
3758,싼게 비지떡.  빳빳한 칫솔모 교정기에 껴서 막 털도 많이 빠짐.,2,0,1,1,2020,5,13
3759,스마트스토어] 코코세일  SNG 치과칫솔 미세모 슬림모 치과용 교정 어금니 어린이 칫솔 12개입 치간 치실 1. 칫솔종류: S&G 교정용V 칫솔 / 2. 칫솔선택:,5,1,0,1,2020,5,13
3760,다른제품 사용하다가 이번에 처음 구매하게 되었는데 좋은 제품 인것 같습니다.,5,0,0,2,2020,5,13
3761,빠른배송 좋은 품질 만족합니다 ~~~~,5,0,0,3,2020,5,13
3762,만족하고 쓰고 있습니다,5,0,0,3,2020,5,13
3763,저번에도 구매하고 이번에도 구매했어요 만족합니다,4,1,0,7,2020,5,13
3764,배송도 빠르고 이 가격에 양도 많아서 너무 좋아요,4,0,0,1,2020,5,13
3765,"교정중이라 구매했어요. 솔은 나쁘지 않은데, 칫솔 바디가 너무 매끄러워서 양치할때 조금 불편해요 ㅎㅎ",4,0,0,1,2020,5,14
3766,정말조앙 사세요으이,5,0,0,3,2020,5,14
3767,한달이상 사용해도 편하고 잘닦여요 상쾌합니다!,5,0,1,2,2020,5,14
3768,치과칫솔 쓰라고 칫과에서 말해서 항상 쓰고 있어요~~ 굳이 칫솔 케이스는 낭비인듯요!!,4,0,0,3,2020,5,14
3769,부드럽고 잘 쓰고 있습니다.,5,0,1,2,2020,5,14
3770,아직 쓰기전이에요 옆지기랑 쓰는 스타일이 달라서 반반 오는거랑 프리미엄 시켰는데 프리미엄은 칫솔 색상이 다 똑같아서..ㅠㅠ 일반칫솔처럼 색상이 달랐으면 좋을뻔 했어요,4,0,0,7,2020,5,14
3771,저렴하고 좋아요. 잘사용하고있어요.,5,1,0,7,2020,5,14
3772,항상 이용하고 있습니다 칫솔  적극 추천합니다,5,0,0,1,2020,5,14
3773,늘 사용하는 제품입니다. 좋아요,5,1,0,2,2020,5,14
3774,kljljkljkljkljkrsy5645yghfhfghg,3,0,0,1,2020,5,14
3775,부드러운건 어머니가 쓰시고 반반? 은 제가 쓰고 있는데 넘 맘에 듭니다 재구매의사 있습니다,5,0,1,7,2020,5,14
3776,저렴하고빠른배송좋아요 매번여기서재구매해요^^,5,1,1,1,2020,5,14
3777,지인으로부터 추천받아서 구매했어요. 교정하고있는 아이가 잘 쓰고 있고 치간&치실도 다른 제품보다 견고해요.,5,0,0,6,2020,5,14
3778,깔끔하게 배송 왔고 칫솔좋네요,5,0,0,7,2020,5,14
3779,아직 써보기 전이라서.. 치과에서 쓰는거라니 믿고 구매해 보아요,4,0,0,1,2020,5,14
